village_name,district,taluk,farmer_id_hash,pmfby_sum_insured_inr,pmfby_claim_amount_inr,claim_narrative,internal_test_label,crop_name,season
Aland (Kalaburagi),Kalaburagi,Aland,FMR-DD7A2E46,35000,31299.76,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Aland (Kalaburagi),Kalaburagi,Aland,FMR-FD8F2C05,42000,40603.4,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Chincholi (Kalaburagi),Kalaburagi,Chincholi,FMR-4BA19702,65000,24952.34,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Chincholi (Kalaburagi),Kalaburagi,Chincholi,FMR-92956599,42000,40903.58,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Sedam (Kalaburagi),Kalaburagi,Sedam,FMR-D62324EF,50000,21490.37,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Sedam (Kalaburagi),Kalaburagi,Sedam,FMR-4C26E6CE,50000,48244.87,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Sedam (Kalaburagi),Kalaburagi,Sedam,FMR-11D291BA,42000,38449.87,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Afzalpur (Kalaburagi),Kalaburagi,Afzalpur,FMR-5083D064,42000,35645.17,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Afzalpur (Kalaburagi),Kalaburagi,Afzalpur,FMR-7D203B86,42000,36078.7,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Afzalpur (Kalaburagi),Kalaburagi,Afzalpur,FMR-49B834D3,50000,43986.81,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Afzalpur (Kalaburagi),Kalaburagi,Afzalpur,FMR-51A93D38,35000,28317.67,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Sindhanur (Raichur),Raichur,Sindhanur,FMR-20D50E18,50000,25356.68,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Manvi (Raichur),Raichur,Manvi,FMR-455AAAFE,42000,34294.2,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Manvi (Raichur),Raichur,Manvi,FMR-AB6C2AFF,65000,47033.24,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Devadurga (Raichur),Raichur,Devadurga,FMR-52634E49,42000,40845.36,Inadequate rainfall led to stunted growth and withering.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Devadurga (Raichur),Raichur,Devadurga,FMR-75CA2928,65000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Devadurga (Raichur),Raichur,Devadurga,FMR-784ACB80,50000,18620.86,Severe drought during flowering stage destroyed crop.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Devadurga (Raichur),Raichur,Devadurga,FMR-0420E0CB,50000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Lingsugur (Raichur),Raichur,Lingsugur,FMR-DFAD8A8C,65000,36843.55,Fields submerged for 5 days due to flash floods.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Gangavathi (Koppal),Koppal,Gangavathi,FMR-19EF35F2,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Gangavathi (Koppal),Koppal,Gangavathi,FMR-37A5C261,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Gangavathi (Koppal),Koppal,Gangavathi,FMR-F885953C,42000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Gangavathi (Koppal),Koppal,Gangavathi,FMR-833A6BE6,50000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Kushtagi (Koppal),Koppal,Kushtagi,FMR-445AC1F7,65000,61272.84,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Kushtagi (Koppal),Koppal,Kushtagi,FMR-6A31E2AF,50000,21544.89,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Yelburga (Koppal),Koppal,Yelburga,FMR-D3323127,42000,34214.41,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Yelburga (Koppal),Koppal,Yelburga,FMR-D89AB0F6,35000,24141.04,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Yelburga (Koppal),Koppal,Yelburga,FMR-B5E933D5,35000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Koppal Town (Koppal),Koppal,Koppal Town,FMR-24043314,42000,31563.54,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Koppal Town (Koppal),Koppal,Koppal Town,FMR-B103AD2E,35000,11313.62,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Koppal Town (Koppal),Koppal,Koppal Town,FMR-633B583F,65000,63189.47,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Koppal Town (Koppal),Koppal,Koppal Town,FMR-438DF56A,50000,28914.33,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Indi (Vijayapura),Vijayapura,Indi,FMR-B9618E41,42000,31181.3,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Indi (Vijayapura),Vijayapura,Indi,FMR-1CA53746,50000,37198.42,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Indi (Vijayapura),Vijayapura,Indi,FMR-097E00F3,42000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Indi (Vijayapura),Vijayapura,Indi,FMR-281E5431,42000,37122.05,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Muddebihal (Vijayapura),Vijayapura,Muddebihal,FMR-DBF6C51B,50000,30045.56,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Basavana Bagewadi (Vijayapura),Vijayapura,Basavana Bagewadi,FMR-03BD8BE5,35000,21835.15,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Basavana Bagewadi (Vijayapura),Vijayapura,Basavana Bagewadi,FMR-CB5C6470,65000,30232.87,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Basavana Bagewadi (Vijayapura),Vijayapura,Basavana Bagewadi,FMR-88717290,35000,30129.81,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Sindgi (Vijayapura),Vijayapura,Sindgi,FMR-AFB4DF97,50000,39801.57,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Ron (Gadag),Gadag,Ron,FMR-39E8703B,50000,28966.6,Fields submerged for 5 days due to flash floods.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Ron (Gadag),Gadag,Ron,FMR-C144A589,35000,30067.15,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Ron (Gadag),Gadag,Ron,FMR-622E6DF2,65000,37549.41,Fields submerged for 5 days due to flash floods.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Mundargi (Gadag),Gadag,Mundargi,FMR-AB751985,65000,41405.5,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Mundargi (Gadag),Gadag,Mundargi,FMR-E173F07E,35000,28391.92,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Mundargi (Gadag),Gadag,Mundargi,FMR-B1DBC48C,65000,55381.8,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Mundargi (Gadag),Gadag,Mundargi,FMR-783424CB,35000,17611.24,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Nargund (Gadag),Gadag,Nargund,FMR-7E9ECBDC,50000,31471.67,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Nargund (Gadag),Gadag,Nargund,FMR-CFE107D9,35000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Nargund (Gadag),Gadag,Nargund,FMR-6EB97A29,35000,26918.96,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Shirhatti (Gadag),Gadag,Shirhatti,FMR-7171697D,35000,29520.16,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Shirhatti (Gadag),Gadag,Shirhatti,FMR-0B2D4985,50000,35241.28,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Shirhatti (Gadag),Gadag,Shirhatti,FMR-9C229D11,65000,20747.68,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Shirhatti (Gadag),Gadag,Shirhatti,FMR-59A6FF92,50000,15190.18,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Ranebennur (Haveri),Haveri,Ranebennur,FMR-F0221613,35000,12515.46,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Ranebennur (Haveri),Haveri,Ranebennur,FMR-DFE49854,35000,16996.67,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Byadgi (Haveri),Haveri,Byadgi,FMR-2D72F70B,50000,37649.35,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Byadgi (Haveri),Haveri,Byadgi,FMR-EE1386DF,65000,33325.38,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Byadgi (Haveri),Haveri,Byadgi,FMR-2853EFF3,50000,42874.82,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Hangal (Haveri),Haveri,Hangal,FMR-43E307E8,35000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Hangal (Haveri),Haveri,Hangal,FMR-A6CC6C8D,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Hangal (Haveri),Haveri,Hangal,FMR-11BCFC01,35000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Hangal (Haveri),Haveri,Hangal,FMR-9364F115,65000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Hirekerur (Haveri),Haveri,Hirekerur,FMR-4DEBB755,50000,31685.7,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Hirekerur (Haveri),Haveri,Hirekerur,FMR-75678495,65000,27731.43,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Bellary Town (Bellary),Bellary,Bellary Town,FMR-BF5E9217,50000,23136.15,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Bellary Town (Bellary),Bellary,Bellary Town,FMR-C39E6B71,65000,42014.57,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Hospet (Bellary),Bellary,Hospet,FMR-30DFC20B,50000,34721.65,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Hospet (Bellary),Bellary,Hospet,FMR-B3472F2C,42000,27954.04,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Hospet (Bellary),Bellary,Hospet,FMR-BC02C9CF,50000,40945.34,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Hospet (Bellary),Bellary,Hospet,FMR-9E780EBD,65000,31667.52,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Sandur (Bellary),Bellary,Sandur,FMR-1341F1AD,50000,30148.09,"No rain for 30 days, total crop failure.",CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Siruguppa (Bellary),Bellary,Siruguppa,FMR-3D60C55A,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Siruguppa (Bellary),Bellary,Siruguppa,FMR-ACE9767B,50000,22495.84,Severe drought during flowering stage destroyed crop.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Siruguppa (Bellary),Bellary,Siruguppa,FMR-A584E02C,35000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Siruguppa (Bellary),Bellary,Siruguppa,FMR-235E3A8A,35000,24931.56,Inadequate rainfall led to stunted growth and withering.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Shorapur (Yadgir),Yadgir,Shorapur,FMR-2411C92D,65000,62604.35,Fields submerged for 5 days due to flash floods.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Shahapur (Yadgir),Yadgir,Shahapur,FMR-72ECA344,42000,21125.68,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Hunasagi (Yadgir),Yadgir,Hunasagi,FMR-51BE32E9,50000,44094.64,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Hunasagi (Yadgir),Yadgir,Hunasagi,FMR-D7201284,42000,39309.95,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Hunasagi (Yadgir),Yadgir,Hunasagi,FMR-B7D0B5B9,50000,20139.54,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Surapura (Yadgir),Yadgir,Surapura,FMR-891F1FBD,42000,34681.89,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Surapura (Yadgir),Yadgir,Surapura,FMR-74FC0E31,65000,41469.29,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Surapura (Yadgir),Yadgir,Surapura,FMR-FE6AD794,65000,56643.65,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Surapura (Yadgir),Yadgir,Surapura,FMR-17097E08,50000,45960.73,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Jamkhandi (Bagalkot),Bagalkot,Jamkhandi,FMR-1ED28C02,65000,59763.71,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Jamkhandi (Bagalkot),Bagalkot,Jamkhandi,FMR-81557F3E,65000,23010.75,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Jamkhandi (Bagalkot),Bagalkot,Jamkhandi,FMR-82869968,35000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Badami (Bagalkot),Bagalkot,Badami,FMR-9481DE3E,65000,25139.55,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Badami (Bagalkot),Bagalkot,Badami,FMR-C6C2B5B6,65000,29531.83,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Badami (Bagalkot),Bagalkot,Badami,FMR-F1ECB4ED,50000,22805.64,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Bilgi (Bagalkot),Bagalkot,Bilgi,FMR-C6FB6961,50000,34194.61,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Bilgi (Bagalkot),Bagalkot,Bilgi,FMR-5BEE904A,42000,22132.13,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Bilgi (Bagalkot),Bagalkot,Bilgi,FMR-D4F90BC9,65000,35613.45,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Bilgi (Bagalkot),Bagalkot,Bilgi,FMR-927354E2,35000,26951.11,Fields submerged for 5 days due to flash floods.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Mudhol (Bagalkot),Bagalkot,Mudhol,FMR-B8E119DF,35000,21953.11,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Mudhol (Bagalkot),Bagalkot,Mudhol,FMR-ECE15217,65000,36418.98,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Shiggaon (Haveri),Haveri,Shiggaon,FMR-5E27A65C,42000,25644.72,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Shiggaon (Haveri),Haveri,Shiggaon,FMR-1E44FC15,42000,29123.39,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Hagaribommanahalli (Bellary),Bellary,Hagaribommanahalli,FMR-2CF470DF,42000,23004.91,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Hagaribommanahalli (Bellary),Bellary,Hagaribommanahalli,FMR-8F27033A,65000,37322.38,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Hagaribommanahalli (Bellary),Bellary,Hagaribommanahalli,FMR-E12A61C7,42000,33824.34,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Kudligi (Bellary),Bellary,Kudligi,FMR-6A7548CF,50000,21089.84,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Kudligi (Bellary),Bellary,Kudligi,FMR-4B1D7A90,35000,24605.79,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Kudligi (Bellary),Bellary,Kudligi,FMR-0FCA10B4,65000,41919.94,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Kampli (Bellary),Bellary,Kampli,FMR-BFBE435F,35000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Humnabad (Bidar),Bidar,Humnabad,FMR-6B6A1E90,42000,40438.23,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Humnabad (Bidar),Bidar,Humnabad,FMR-F663C0CD,50000,39009.23,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Basavakalyan (Bidar),Bidar,Basavakalyan,FMR-2BBCA40C,35000,14432.58,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Basavakalyan (Bidar),Bidar,Basavakalyan,FMR-CB58D8C2,65000,37657.98,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Bhalki (Bidar),Bidar,Bhalki,FMR-ECE89D50,42000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Bhalki (Bidar),Bidar,Bhalki,FMR-1E68C8AE,35000,33392.72,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Bhalki (Bidar),Bidar,Bhalki,FMR-1A1FF14D,35000,11936.64,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Bhalki (Bidar),Bidar,Bhalki,FMR-A390ECA0,35000,10933.29,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Aurad (Bidar),Bidar,Aurad,FMR-3BBABF5D,65000,22892.03,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Hoovina Hadagali (Bellary),Bellary,Hoovina Hadagali,FMR-9505778E,65000,35443.24,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Gudur (Raichur),Raichur,Gudur,FMR-849E7756,50000,35955.46,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Gudur (Raichur),Raichur,Gudur,FMR-B6E92587,50000,37734.28,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Gudur (Raichur),Raichur,Gudur,FMR-1C718800,42000,32702.33,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Maski (Raichur),Raichur,Maski,FMR-253F6DA7,35000,33498.92,Severe drought during flowering stage destroyed crop.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Maski (Raichur),Raichur,Maski,FMR-D226AB57,35000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Maski (Raichur),Raichur,Maski,FMR-7091C34A,65000,37025.39,Inadequate rainfall led to stunted growth and withering.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Maski (Raichur),Raichur,Maski,FMR-D448F1B2,50000,49348.1,Inadequate rainfall led to stunted growth and withering.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Challakere (Chitradurga),Chitradurga,Challakere,FMR-121B64EF,35000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Challakere (Chitradurga),Chitradurga,Challakere,FMR-3CC5B852,65000,54407.15,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Challakere (Chitradurga),Chitradurga,Challakere,FMR-005BADC0,65000,38459.82,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Challakere (Chitradurga),Chitradurga,Challakere,FMR-1620EF91,65000,32674.21,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Hiriyur (Chitradurga),Chitradurga,Hiriyur,FMR-38DD3952,65000,59091.95,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Hiriyur (Chitradurga),Chitradurga,Hiriyur,FMR-12BE3994,35000,20999.6,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Hiriyur (Chitradurga),Chitradurga,Hiriyur,FMR-7B7F761A,35000,28840.59,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Holalkere (Chitradurga),Chitradurga,Holalkere,FMR-1A2BADC2,35000,15054.97,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Holalkere (Chitradurga),Chitradurga,Holalkere,FMR-3C695800,65000,29746.11,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Holalkere (Chitradurga),Chitradurga,Holalkere,FMR-897017E7,65000,24439.53,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Holalkere (Chitradurga),Chitradurga,Holalkere,FMR-C505EC0F,65000,55835.51,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Hosadurga (Chitradurga),Chitradurga,Hosadurga,FMR-012E32C2,65000,40838.98,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Molakalmuru (Chitradurga),Chitradurga,Molakalmuru,FMR-159D1ADB,50000,44507.83,Crop dried up due to prolonged moisture stress.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Molakalmuru (Chitradurga),Chitradurga,Molakalmuru,FMR-00E915BF,50000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Harihara (Davanagere),Davanagere,Harihara,FMR-8BE0139D,50000,37037.77,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Harihara (Davanagere),Davanagere,Harihara,FMR-EC7DCC73,50000,35196.5,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Channagiri (Davanagere),Davanagere,Channagiri,FMR-A1A1D16C,42000,41127.02,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Honnali (Davanagere),Davanagere,Honnali,FMR-6DA40E3A,35000,18484.48,Inadequate rainfall led to stunted growth and withering.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Honnali (Davanagere),Davanagere,Honnali,FMR-3579C5EC,50000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Honnali (Davanagere),Davanagere,Honnali,FMR-121A4770,42000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Jagalur (Davanagere),Davanagere,Jagalur,FMR-B6914087,42000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Jagalur (Davanagere),Davanagere,Jagalur,FMR-A870356E,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Jagalur (Davanagere),Davanagere,Jagalur,FMR-6994CE67,35000,11257.5,Crop dried up due to prolonged moisture stress.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
